Lines,Lon,VehicleNumber,Time,Lat,Brigade,v,SpeedingsNearby
518,20.994383,3414,2024-06-20 16:20:15,52.2867886,3,66.74865029168721,22.0
182,21.0351837,7759,2024-06-20 15:56:24,52.2217187,3,52.75812602976686,22.0
520,21.0352206,8850,2024-06-20 15:57:21,52.2217115,011,52.643165046380425,22.0
411,21.0350845,7875,2024-06-20 16:02:28,52.2216995,02,50.48916387118549,22.0
514,21.035498,7884,2024-06-20 16:11:27,52.22184,2,51.248110146354314,22.0
709,21.0177528,8310,2024-06-20 16:08:29,52.1648353,014,65.03112819405841,22.0
709,21.017324,8505,2024-06-20 15:50:56,52.157898,013,64.17380006556195,22.0
502,21.1340504,8564,2024-06-20 16:16:22,52.2313607,09,50.311175467862675,22.0
411,21.1343467,8571,2024-06-20 16:02:57,52.23092,466,67.82767149727272,22.0
518,20.99245,8584,2024-06-20 16:04:45,52.2862333,6,50.93513599100979,22.0
709,21.0172836,8891,2024-06-20 16:14:48,52.1575506,012,66.64355344331575,22.0
504,21.0173528,8885,2024-06-20 15:55:35,52.158246,011,58.507145364314354,22.0
709,21.0176935,8890,2024-06-20 16:03:52,52.1583486,7,54.21452137796307,22.0
709,21.01767,8890,2024-06-20 16:04:03,52.1599413,7,57.96242660480757,22.0
739,21.01767,9329,2024-06-20 15:49:37,52.16013,3,61.80093951278442,22.0
709,21.0172625,8896,2024-06-20 16:22:10,52.1583046,8,65.97159443080756,22.0
739,21.017305,9329,2024-06-20 16:18:53,52.157185,3,60.930378512347424,21.0
331,21.01775,1992,2024-06-20 15:55:38,52.164448,03,52.76647141578026,21.0
331,21.0177519,1990,2024-06-20 16:09:19,52.1639432,04,57.2829963588006,21.0
709,21.0177531,8890,2024-06-20 16:04:41,52.164847,7,90.86264841987716,21.0
514,21.0730176,8853,2024-06-20 15:48:57,52.2314498,1,56.93985037969534,21.0
739,21.0176841,9346,2024-06-20 16:13:03,52.158314,4,50.12518050319728,21.0
125,21.134364,8573,2024-06-20 16:10:26,52.231108,06,73.2218189985912,21.0
411,21.0528783,8565,2024-06-20 16:00:08,52.226095,01,55.35861435045458,21.0
705,20.992949,8460,2024-06-20 15:54:48,52.286079,07,57.74740699036711,21.0
509,20.997351,8452,2024-06-20 16:04:39,52.295681,11,87.98697897726193,21.0
132,20.995,8445,2024-06-20 16:12:24,52.2874,1,56.480272746034174,21.0
143,21.072635,8363,2024-06-20 16:22:37,52.2316633,09,50.313919387877746,21.0
709,21.0176975,8328,2024-06-20 16:13:43,52.1593788,2,57.114205731311245,21.0
518,20.9949483,8584,2024-06-20 16:04:30,52.2873767,6,56.15669486133174,21.0
525,21.1346359,7873,2024-06-20 16:02:28,52.2310506,012,53.30569439058274,21.0
188,21.0729982,7728,2024-06-20 16:04:28,52.2314797,6,50.087143791023585,21.0
514,21.0487565,7800,2024-06-20 16:20:19,52.2253579,3,54.29511126667531,21.0
192,21.017673,1064,2024-06-20 16:10:10,52.159885,2,74.82646955481879,21.0
192,21.017118,1028,2024-06-20 15:49:59,52.164078,1,53.805895015526964,21.0
502,21.134225,7708,2024-06-20 16:06:54,52.2309585,467,59.7405908961652,21.0
518,20.9979,5992,2024-06-20 16:00:11,52.2954,2,77.56298131779191,21.0
132,20.994047,5453,2024-06-20 16:13:25,52.286652,09,58.37140373827748,21.0
142,21.1342219,4301,2024-06-20 16:19:26,52.2312237,08,64.84487621837702,21.0
331,21.017727,1997,2024-06-20 16:22:50,52.159416,05,53.996521649092394,21.0
331,21.017132,1992,2024-06-20 16:17:40,52.165085,03,82.29776213124313,21.0
523,21.0365481,7889,2024-06-20 16:03:53,52.2220524,16,53.55504398386846,21.0
143,21.0348947,7870,2024-06-20 15:53:51,52.2216407,3,52.98948648969067,21.0
736,20.997626,1814,2024-06-20 16:17:05,52.295394,2,53.16309599924003,21.0
739,21.017786,1200,2024-06-20 15:53:48,52.16486,07,88.91029184787861,21.0
704,21.1340291,7847,2024-06-20 16:06:26,52.2310678,2,65.41959890358378,21.0
